"Predictor","PredGroup","DirectWater","MetricType","PctZero","PctDom","Range","PvIvE_F","EvNE_t_abs","PvNP_t_abs","PvIwet_t_abs","EvIdry_t_abs","rf_MDA","rf_MDG","rf_MDA_rank","Screened"
"CaOCat","StreamCat",FALSE,"Continuous",0,0.0152671755725191,23.3820892226783,2.07789976093735,2.38457399965642,0.477455701256793,0.0158666876186283,1.37449973972677,-0.000710278648873222,0.290226060984041,4,"Pass"
"Fe2O3Cat","StreamCat",FALSE,"Continuous",0,0.0152671755725191,26.9249405050738,0.229865394187909,0.660976829687905,0.0467872013399588,0.0911844899842736,0.862476317604775,-0.000700019779389137,0.211362696107154,5,"Fail"
"K2OCat","StreamCat",FALSE,"Continuous",0,0.0152671755725191,3.78091670310377,0.137392070688273,0.552625381730972,0.186052659898198,0.57042234085083,0.527608092107056,-4.33110244477451e-05,0.476379799244937,53,"Fail"
"MgOCat","StreamCat",FALSE,"Continuous",0,0.0152671755725191,10.0582323950996,3.20243477685857,3.0449123453159,1.54006710449285,1.30540487528199,1.74621217788106,0.000707240873897224,0.304023467207426,109,"Pass"
"Na2OCat","StreamCat",FALSE,"Continuous",0,0.0152671755725191,3.59378232922549,1.24194225354625,1.62288880864465,1.11979172159292,0.188433426563657,0.855983575018539,0.000672386234299561,0.432152940075275,107,"Fail"
"P2O5Cat","StreamCat",FALSE,"Continuous",0,0.0152671755725191,0.264956080645901,0.495004155593957,1.08718301135782,0.103549248371488,0.524787047831672,1.68008674723226,0.000192358474532893,0.338472491776756,84,"Fail"
"SCat","StreamCat",FALSE,"Continuous",0,0.0152671755725191,5.83786548677575,0.354685835076996,0.501366243436206,0.87035220163782,0.670082150320499,0.297685987553514,0.00153272798252986,0.501867904703233,126,"Pass"
"SiO2Cat","StreamCat",FALSE,"Continuous",0,0.0152671755725191,52.2848266419968,0.866038951188686,1.41363236768132,0.250275868499902,0.18235319077033,1.0055715638007,-0.000692058933019306,0.269080319365638,7,"Fail"
"Al2O3Ws","StreamCat",FALSE,"Continuous",0,0.0152671755725191,13.7279220316593,1.71517103841022,1.71677118154177,1.10218588543814,0.75684402276293,0.285970014164997,-1.21229421819694e-06,0.377870587129814,59,"Fail"
"CaOWs","StreamCat",FALSE,"Continuous",0,0.0152671755725191,25.8005098151688,0.634796802958747,0.773400919473963,0.28337998083822,1.58633353920578,0.42773504781526,-0.00023549030327617,0.285244034359482,28,"Fail"
"Fe2O3Ws","StreamCat",FALSE,"Continuous",0,0.0152671755725191,23.6968765702653,1.22723519041736,1.32930956479362,1.35775380481893,0.157697222402209,0.608076926610582,-3.97428125839277e-05,0.522095818309965,55,"Fail"
"K2OWs","StreamCat",FALSE,"Continuous",0,0.0152671755725191,3.17513583531154,0.120932429711654,0.442199995933609,0.0505951418213309,1.06532507230202,0.167902180529952,-0.000735158689613149,0.264907540352645,2,"Fail"
"MgOWs","StreamCat",FALSE,"Continuous",0,0.0152671755725191,13.254988679438,0.459154668219305,0.633435323900265,0.250520943199734,2.68112853765046,0.290513671119753,-0.000454570353630885,0.363452783041509,16,"Pass"
"Na2OWs","StreamCat",FALSE,"Continuous",0,0.0152671755725191,3.54802548262278,1.00682448302438,1.3075989990165,1.0446546413545,0.264708263271988,0.321058813440997,-0.000547971153370944,0.37976640434683,12,"Fail"
"P2O5Ws","StreamCat",FALSE,"Continuous",0,0.0152671755725191,0.250813196833894,0.863793422923188,1.36810583248728,0.563722881296074,0.610050215482525,1.25088803744474,-0.000689808799194529,0.368564259176767,8,"Fail"
"SWs","StreamCat",FALSE,"Continuous",0,0.0152671755725191,19.4291271982969,0.737508211954011,1.05534799295764,1.45062581819394,0.698940977560849,1.47067084605086,0.000175906319725295,0.416461655079088,83,"Fail"
"SiO2Ws","StreamCat",FALSE,"Continuous",0,0.0152671755725191,52.2998264977178,0.810352444543738,0.574653664835239,0.713649567124317,2.25078720867793,0.37641412957178,0.000488730608700458,0.435015741216766,103,"Pass"
"NCat","StreamCat",FALSE,"Continuous",0,0.0152671755725191,0.824076978257189,1.19827935938953,1.56236893378325,0.972939398495312,0.545192948925597,1.03133439180099,0.00050955837998876,0.35530858608938,104,"Fail"
"NWs","StreamCat",FALSE,"Continuous",0,0.0152671755725191,0.873002925941517,1.13186095196747,1.23367647415928,0.78315290480074,0.691161669886169,0.678924308060283,-0.0012194166358379,0.41511493436081,1,"Fail"
"HydrlCondCat","StreamCat",FALSE,"Continuous",0,0.0152671755725191,205.961658691039,2.09351849740004,1.63093949271896,0.612520827388218,0.245115867258495,1.16278477845778,-0.000638470409733522,0.269043248590704,9,"Pass"
"HydrlCondWs","StreamCat",FALSE,"Continuous",0,0.0152671755725191,106.191616103862,1.02895894398335,1.06118765135621,0.288690396226195,0.557449567258597,1.32802425922617,-0.000196164590094227,0.380731432267358,34,"Fail"
"CompStrgthCat","StreamCat",FALSE,"Continuous",0,0.0152671755725191,181.123491139234,5.64642276845452,3.55456080450581,1.62366068011668,0.439312233660854,1.91473365475063,5.48531672770213e-05,0.384841874094311,73,"Pass"
"CompStrgthWs","StreamCat",FALSE,"Continuous",0,0.0152671755725191,181.438620984775,2.49577232927137,2.21708989067688,0.955191092673672,0.25095013228532,0.844095108910488,-0.000197177542422039,0.304522087650247,33,"Pass"
"Precip8110Cat","StreamCat",FALSE,"Continuous",0,0.0152671755725191,1777.7558851709,4.33308447613564,4.41607491872974,0.627073354255162,0.319728511533934,1.87874068854993,-8.65237854335216e-05,0.382964825623114,47,"Pass"
"Tmax8110Cat","StreamCat",FALSE,"Continuous",0,0.0152671755725191,24.65506624452,9.95822142089911,4.1694257990577,2.60958115374043,0.796026128185855,2.98689373366233,0.00099040019273833,0.575741751687686,115,"Pass"
"Tmean8110Cat","StreamCat",FALSE,"Continuous",0,0.0152671755725191,23.1185157022769,9.81466352203651,4.16678927938894,2.63897740465994,0.812473882116519,3.06889335074397,0.000924483691663294,0.649947205480641,114,"Pass"
"Tmin8110Cat","StreamCat",FALSE,"Continuous",0,0.0152671755725191,21.57825340506,9.01540438847352,4.07522595469676,2.57854657352623,0.805006621616773,2.96814559712245,0.00103855268951713,0.596031610682413,117,"Pass"
"Precip8110Ws","StreamCat",FALSE,"Continuous",0,0.0152671755725191,2539.717476,5.58534980562792,5.38095536358509,1.6515601884334,0.551456371647418,1.81354152988136,0.000301182107343537,0.509885723229971,91,"Pass"
"Tmax8110Ws","StreamCat",FALSE,"Continuous",0,0.0152671755725191,23.27948766502,12.5743957323424,4.75260898340887,3.50154787764495,1.65531634515589,3.41043212555837,0.00183256342709932,0.532420437332865,129,"Pass"
"Tmean8110Ws","StreamCat",FALSE,"Continuous",0,0.0152671755725191,20.9859420608769,11.5472553850237,4.59984735039399,3.29226910045534,1.45273138394627,3.32125376542059,0.0019074661029612,0.581744787798235,130,"Pass"
"Tmin8110Ws","StreamCat",FALSE,"Continuous",0,0.0152671755725191,18.69065038846,10.06326917983,4.35444373773057,3.00979370150454,1.21402545695267,3.05598206843045,0.00122557280399428,0.545682403249777,119,"Pass"
"ClayCat","StreamCat",FALSE,"Continuous",0,0.0152671755725191,37.2950914752822,0.743865874436399,0.682553973720698,0.646493247543272,0.423385901308978,2.23088260662622,0.000393040510218093,0.317890665707614,100,"Pass"
"SandCat","StreamCat",FALSE,"Continuous",0,0.0152671755725191,65.5552521216717,0.217798141437678,0.453885885680085,0.171387884119341,0.494006411496832,1.62925510624279,-0.000733064499197445,0.377657272393635,3,"Fail"
"ClayWs","StreamCat",FALSE,"Continuous",0,0.0152671755725191,35.62248480805,1.05236455637429,0.777684879958474,1.40874683673623,0.897810405383156,1.31759146627733,-0.000582444061333845,0.296152170462008,10,"Fail"
"SandWs","StreamCat",FALSE,"Continuous",0,0.0152671755725191,60.8955541042689,0.940587216606484,0.729410776207073,1.30015123738853,0.264877197486941,1.5564816448697,0.000288028941938924,0.294112444290849,90,"Fail"
"OmCat","StreamCat",FALSE,"Continuous",0,0.0153846153846154,3.45869034155168,2.52246947275106,3.02068764683843,0.199831197683929,0.203592489805585,1.55581452035576,-0.000148283269524604,0.348461258347396,36,"Pass"
"PermCat","StreamCat",FALSE,"Continuous",0,0.0153846153846154,38.55,0.845998396862446,0.746583233067249,0.483706102187387,0.0975046473788081,1.74261371501553,-0.000542879013667631,0.296309239890861,13,"Fail"
"RckDepCat","StreamCat",FALSE,"Continuous",0,0.130769230769231,125.42,0.45347516123344,0.940150262630869,0.251300158279458,0.295317317194851,0.212958474932165,0.000132179415584398,0.408662467682176,79,"Fail"
"WtDepCat","StreamCat",FALSE,"Continuous",0,0.553846153846154,92.9571668605403,0.990260227457494,1.75082585796266,0.813943317893018,0.923339392611448,1.30308860383608,-0.00032500339283222,0.182615678583966,21,"Fail"
"OmWs","StreamCat",FALSE,"Continuous",0,0.0153846153846154,3.87914078197893,1.47181842551584,1.93839703448427,0.0368783633663957,0.785061357687815,1.19827341332046,-0.000364611144404985,0.299597840317675,18,"Fail"
"PermWs","StreamCat",FALSE,"Continuous",0,0.0153846153846154,34.9562647278248,1.53072422605714,0.99634312678384,1.54032513755519,0.72894743719494,0.954431101026816,-0.00034791338151046,0.314375786920552,19,"Fail"
"RckDepWs","StreamCat",FALSE,"Continuous",0,0.0153846153846154,113.03,1.92332846098423,0.544809601846502,2.00161371642066,1.12061291128943,0.409604822503658,-0.000268631351124064,0.422246841547227,24,"Pass"
"WtDepWs","StreamCat",FALSE,"Continuous",0,0.415384615384615,32.474088065071,0.492141403907699,0.880256128893281,0.697583887760183,0.217856364251501,0.56913945787411,0.000106268763317036,0.206070006485105,77,"Fail"
"PctCarbResidCat","StreamCat",FALSE,"Continuous",0.923664122137405,0.923664122137405,100,0.53546162150741,0.616513068408583,0.750509589201163,0.790524931808945,0.322552893715411,3.33333333333333e-05,0.0246373686993192,71,"Fail"
"PctNonCarbResidCat","StreamCat",FALSE,"Continuous",0.473282442748092,0.473282442748092,100,0.260548591336364,0.309854111816995,0.748384842128614,0.240780247862099,0.00668856872636747,-0.000276622363080274,0.129145956076241,23,"Fail"
"PctAlkIntruVolCat","StreamCat",FALSE,"Continuous",0.984732824427481,0.984732824427481,85.8927877767707,3.08889436099482,1.4368424162142,1.42231800443752,1,1,0,0,63,"Fail"
"PctSilicicCat","StreamCat",FALSE,"Continuous",0.526717557251908,0.526717557251908,100,4.46056910331322,3.84477580457474,1.39003650000579,0.300728085257653,1.71335952532443,0.00108449006871969,0.25165612897461,118,"Pass"
