FinalID,CommonName,CaliforniaTaxon,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,GenusComplex,Genus,SpeciesComplex,Species,Subspecies,Variety,TaxonomicAuthority,FinalIDAuthority,Source
Agabus griseipennis,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus griseipennis,,,LeConte,SAFIT,DFG-ABL
Agabus hoppingi,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus hoppingi,,,Leech,SAFIT,DFG-ABL
Agabus hypomelas,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus hypomelas,,,Mannerheim,SAFIT,DFG-ABL
Agabus ilybiiformis,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus ilybiiformis,,,(Zimmermann),SAFIT,DFG-ABL
Agabus jimzim,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus jimzim,,,Larson,SAFIT,DFG-ABL
Agabus klamathensis,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus klamathensis,,,Larson & Leech,SAFIT,DFG-ABL
Agabus kootenai,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus kootenai,,,Larson,SAFIT,DFG-ABL
Agabus lineelus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus lineelus,,,LeConte,SAFIT,DFG-ABL
Agabus lugens,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus lugens,,,LeConte,SAFIT,DFG-ABL
Agabus lutosus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus lutosus,,,LeConte,SAFIT,DFG-ABL
Agabus minnesotensis,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus minnesotensis,,,Wallis,SAFIT,DFG-ABL
